display_name,cited_by_count,h_index,works_count,country_code,id,works_api_url
K. L. Cooke,1312.0,12.0,29.0,US,https://openalex.org/A5113748398,https://api.openalex.org/works?filter=author.id:A5113748398
Gboyega E. Abikoye,175.0,8.0,40.0,NG,https://openalex.org/A5072822221,https://api.openalex.org/works?filter=author.id:A5072822221
Erick Elejalde,180.0,7.0,27.0,DE,https://openalex.org/A5091661935,https://api.openalex.org/works?filter=author.id:A5091661935
Jacqueline F. Moreau,1408.0,15.0,28.0,US,https://openalex.org/A5088472623,https://api.openalex.org/works?filter=author.id:A5088472623
Micah Carroll,257.0,7.0,22.0,US,https://openalex.org/A5039815972,https://api.openalex.org/works?filter=author.id:A5039815972
B. Radhakrishnan,83.0,4.0,22.0,IN,https://openalex.org/A5061913197,https://api.openalex.org/works?filter=author.id:A5061913197
Yasuhiro Taguchi,67.0,3.0,22.0,JP,https://openalex.org/A5109357369,https://api.openalex.org/works?filter=author.id:A5109357369
Ayotomiwa Ojo,134.0,6.0,20.0,US,https://openalex.org/A5051049303,https://api.openalex.org/works?filter=author.id:A5051049303
Nathaniel Phillips,301.0,7.0,15.0,IL,https://openalex.org/A5078363848,https://api.openalex.org/works?filter=author.id:A5078363848
Mark Krass,1550.0,4.0,6.0,US,https://openalex.org/A5063737268,https://api.openalex.org/works?filter=author.id:A5063737268
Kosuke Takano,294.0,5.0,15.0,JP,https://openalex.org/A5111822228,https://api.openalex.org/works?filter=author.id:A5111822228
Kathy M. Broniarczyk,46.0,2.0,2.0,US,https://openalex.org/A5065019171,https://api.openalex.org/works?filter=author.id:A5065019171
M. Tartari,12.0,1.0,1.0,IT,https://openalex.org/A5010117081,https://api.openalex.org/works?filter=author.id:A5010117081
Vani R. Henderson,433.0,8.0,9.0,US,https://openalex.org/A5019185638,https://api.openalex.org/works?filter=author.id:A5019185638
William A Wood,16.0,1.0,1.0,US,https://openalex.org/A5040567962,https://api.openalex.org/works?filter=author.id:A5040567962
Daniel Rubin,131.0,4.0,9.0,US,https://openalex.org/A5112529093,https://api.openalex.org/works?filter=author.id:A5112529093
Kyoko Ishizaki,103.0,4.0,6.0,JP,https://openalex.org/A5016990047,https://api.openalex.org/works?filter=author.id:A5016990047
Natasha Kamneva,83.0,1.0,1.0,,https://openalex.org/A5064587316,https://api.openalex.org/works?filter=author.id:A5064587316
Courtney Bearns Tablante,274.0,4.0,6.0,US,https://openalex.org/A5054557062,https://api.openalex.org/works?filter=author.id:A5054557062
Jessie Hemmons,84.0,1.0,1.0,US,https://openalex.org/A5068787473,https://api.openalex.org/works?filter=author.id:A5068787473
Xiaohan Jiao,80.0,3.0,4.0,CN,https://openalex.org/A5065034146,https://api.openalex.org/works?filter=author.id:A5065034146
Panagiotis Takis Metaxas,13.0,1.0,1.0,US,https://openalex.org/A5109893479,https://api.openalex.org/works?filter=author.id:A5109893479
Gerard P. A. Tan,325.0,2.0,2.0,AU,https://openalex.org/A5004145596,https://api.openalex.org/works?filter=author.id:A5004145596
Zhouchen Lin,24324.0,70.0,488.0,CN,https://openalex.org/A5016399094,https://api.openalex.org/works?filter=author.id:A5016399094
Àlex Arenas,33760.0,73.0,362.0,ES,https://openalex.org/A5027588100,https://api.openalex.org/works?filter=author.id:A5027588100
Jianbao Li,8787.0,51.0,306.0,CN,https://openalex.org/A5101884223,https://api.openalex.org/works?filter=author.id:A5101884223
Dustin Tingley,21262.0,52.0,254.0,US,https://openalex.org/A5002798141,https://api.openalex.org/works?filter=author.id:A5002798141
Mingyao Lin,3556.0,34.0,248.0,CN,https://openalex.org/A5019256037,https://api.openalex.org/works?filter=author.id:A5019256037
Philip Resnik,16671.0,54.0,240.0,US,https://openalex.org/A5059946729,https://api.openalex.org/works?filter=author.id:A5059946729
Roni Avissar,13358.0,57.0,218.0,US,https://openalex.org/A5061255118,https://api.openalex.org/works?filter=author.id:A5061255118
Stanley Zlotkin,5866.0,40.0,213.0,CA,https://openalex.org/A5110850533,https://api.openalex.org/works?filter=author.id:A5110850533
Bert N. Bakker,1607.0,22.0,206.0,NL,https://openalex.org/A5002195215,https://api.openalex.org/works?filter=author.id:A5002195215
Justin M. Carré,6496.0,44.0,145.0,CA,https://openalex.org/A5009354211,https://api.openalex.org/works?filter=author.id:A5009354211
Navid Madani,4748.0,39.0,104.0,US,https://openalex.org/A5071152949,https://api.openalex.org/works?filter=author.id:A5071152949
Marcos Salganicoff,4040.0,25.0,78.0,DE,https://openalex.org/A5039949275,https://api.openalex.org/works?filter=author.id:A5039949275
Zhiyu Jiang,2259.0,20.0,69.0,CN,https://openalex.org/A5014401391,https://api.openalex.org/works?filter=author.id:A5014401391
Jonathan Mallinson,1166.0,13.0,67.0,GB,https://openalex.org/A5062587302,https://api.openalex.org/works?filter=author.id:A5062587302
Kostiantyn Kucher,799.0,12.0,60.0,SE,https://openalex.org/A5026383442,https://api.openalex.org/works?filter=author.id:A5026383442
Stephen A. Spiller,2579.0,13.0,56.0,US,https://openalex.org/A5078099869,https://api.openalex.org/works?filter=author.id:A5078099869
James Bisbee,441.0,12.0,56.0,US,https://openalex.org/A5091324572,https://api.openalex.org/works?filter=author.id:A5091324572
Pierre‐Yves Hervé,3502.0,17.0,46.0,FR,https://openalex.org/A5027784707,https://api.openalex.org/works?filter=author.id:A5027784707
Anne Maria Eikeset,2286.0,18.0,34.0,NO,https://openalex.org/A5113499854,https://api.openalex.org/works?filter=author.id:A5113499854
Ankur Bhardwaj,207.0,7.0,26.0,IN,https://openalex.org/A5013542441,https://api.openalex.org/works?filter=author.id:A5013542441
Manfréd M. Fischer,14722.0,59.0,797.0,AT,https://openalex.org/A5037982517,https://api.openalex.org/works?filter=author.id:A5037982517
Sabyasachee Baruah,52.0,4.0,15.0,US,https://openalex.org/A5047472290,https://api.openalex.org/works?filter=author.id:A5047472290
Hasse Karlsson,11956.0,57.0,583.0,FI,https://openalex.org/A5064162753,https://api.openalex.org/works?filter=author.id:A5064162753
Roni Mateless,43.0,3.0,11.0,IL,https://openalex.org/A5024306363,https://api.openalex.org/works?filter=author.id:A5024306363
J. Daniel Kim,407.0,3.0,10.0,US,https://openalex.org/A5043229356,https://api.openalex.org/works?filter=author.id:A5043229356
Scott Stern,19864.0,61.0,417.0,US,https://openalex.org/A5059686380,https://api.openalex.org/works?filter=author.id:A5059686380
Jesse St. Charles,103.0,6.0,9.0,US,https://openalex.org/A5059339287,https://api.openalex.org/works?filter=author.id:A5059339287
Olaitan Awomolo,95.0,2.0,2.0,US,https://openalex.org/A5033397809,https://api.openalex.org/works?filter=author.id:A5033397809
Vern Paxson,42105.0,93.0,299.0,US,https://openalex.org/A5002219113,https://api.openalex.org/works?filter=author.id:A5002219113
Catherine Hall,7803.0,35.0,295.0,GB,https://openalex.org/A5038789523,https://api.openalex.org/works?filter=author.id:A5038789523
E. Rovenskaya,1465.0,19.0,191.0,AT,https://openalex.org/A5037865389,https://api.openalex.org/works?filter=author.id:A5037865389
Jon Green,2692.0,23.0,190.0,US,https://openalex.org/A5091686932,https://api.openalex.org/works?filter=author.id:A5091686932
Michael Makdissi,15941.0,46.0,165.0,AU,https://openalex.org/A5012822963,https://api.openalex.org/works?filter=author.id:A5012822963
Azim Shariff,17564.0,44.0,162.0,CA,https://openalex.org/A5040553648,https://api.openalex.org/works?filter=author.id:A5040553648
Jessa Lingel,977.0,13.0,84.0,US,https://openalex.org/A5112187860,https://api.openalex.org/works?filter=author.id:A5112187860
Zhang Ke-fang,627.0,10.0,62.0,CN,https://openalex.org/A5062926987,https://api.openalex.org/works?filter=author.id:A5062926987
Marc André Bodet,675.0,10.0,59.0,CA,https://openalex.org/A5005186633,https://api.openalex.org/works?filter=author.id:A5005186633
Carolina V. Zuccotti,318.0,9.0,45.0,ES,https://openalex.org/A5076225305,https://api.openalex.org/works?filter=author.id:A5076225305
Nora McDonald,1135.0,12.0,40.0,US,https://openalex.org/A5030100981,https://api.openalex.org/works?filter=author.id:A5030100981
Yong Kong,269.0,8.0,31.0,CN,https://openalex.org/A5080470205,https://api.openalex.org/works?filter=author.id:A5080470205
Talia Young,580.0,11.0,28.0,US,https://openalex.org/A5057133538,https://api.openalex.org/works?filter=author.id:A5057133538
Jess Hartcher-O’Brien,466.0,11.0,27.0,US,https://openalex.org/A5109576174,https://api.openalex.org/works?filter=author.id:A5109576174
Jonathan Levin,590.0,9.0,25.0,US,https://openalex.org/A5026977746,https://api.openalex.org/works?filter=author.id:A5026977746
Tod Van Gunten,139.0,7.0,17.0,GB,https://openalex.org/A5023933238,https://api.openalex.org/works?filter=author.id:A5023933238
Enrico Bignotti,333.0,6.0,15.0,IT,https://openalex.org/A5011492998,https://api.openalex.org/works?filter=author.id:A5011492998
Luciano Gallegos,93.0,5.0,13.0,BR,https://openalex.org/A5035337056,https://api.openalex.org/works?filter=author.id:A5035337056
Elissa S. Epel,41934.0,94.0,497.0,US,https://openalex.org/A5028088513,https://api.openalex.org/works?filter=author.id:A5028088513
Yui-Pan Yau,80.0,4.0,12.0,HK,https://openalex.org/A5046261793,https://api.openalex.org/works?filter=author.id:A5046261793
Lou Kondic,4393.0,38.0,340.0,US,https://openalex.org/A5026028890,https://api.openalex.org/works?filter=author.id:A5026028890
Anant Baijal,65.0,4.0,9.0,KR,https://openalex.org/A5086716569,https://api.openalex.org/works?filter=author.id:A5086716569
Raymond Duch,5447.0,35.0,294.0,GB,https://openalex.org/A5055869562,https://api.openalex.org/works?filter=author.id:A5055869562
Hugh Stephens,769.0,6.0,8.0,US,https://openalex.org/A5003160392,https://api.openalex.org/works?filter=author.id:A5003160392
Dougľas R. White,14245.0,49.0,278.0,US,https://openalex.org/A5055271621,https://api.openalex.org/works?filter=author.id:A5055271621
Sahil Yakhmi,42.0,1.0,1.0,US,https://openalex.org/A5010135723,https://api.openalex.org/works?filter=author.id:A5010135723
Aric A. Prather,7742.0,47.0,189.0,US,https://openalex.org/A5060547298,https://api.openalex.org/works?filter=author.id:A5060547298
Matthew Ingram,868.0,16.0,162.0,US,https://openalex.org/A5063074975,https://api.openalex.org/works?filter=author.id:A5063074975
Wouter van den Bos,5220.0,40.0,152.0,NL,https://openalex.org/A5054947147,https://api.openalex.org/works?filter=author.id:A5054947147
