id,publication_year,cited_by_count,author_ids
https://openalex.org/W4224866872,2022,42,"['https://openalex.org/A5002621773', 'https://openalex.org/A5010102166', 'https://openalex.org/A5029052900', 'https://openalex.org/A5067621853', 'https://openalex.org/A5089413311']"
https://openalex.org/W4320003957,2022,42,"['https://openalex.org/A5025255782', 'https://openalex.org/A5069576651', 'https://openalex.org/A5070994105', 'https://openalex.org/A5031570233', 'https://openalex.org/A5088639037', 'https://openalex.org/A5005898634', 'https://openalex.org/A5001146558', 'https://openalex.org/A5079514101', 'https://openalex.org/A5024901763', 'https://openalex.org/A5014379995', 'https://openalex.org/A5035267335', 'https://openalex.org/A5002684888', 'https://openalex.org/A5060511665', 'https://openalex.org/A5004750246', 'https://openalex.org/A5072688499', 'https://openalex.org/A5046006076', 'https://openalex.org/A5103852640', 'https://openalex.org/A5040568599', 'https://openalex.org/A5027693232', 'https://openalex.org/A5062826850', 'https://openalex.org/A5001994692', 'https://openalex.org/A5074277807', 'https://openalex.org/A5050798856', 'https://openalex.org/A5101912684', 'https://openalex.org/A5051534896', 'https://openalex.org/A5100440609', 'https://openalex.org/A5026521456', 'https://openalex.org/A5054285881', 'https://openalex.org/A5052391231', 'https://openalex.org/A5061433075', 'https://openalex.org/A5009980324', 'https://openalex.org/A5006527256', 'https://openalex.org/A5068178240', 'https://openalex.org/A5033738047', 'https://openalex.org/A5015201177', 'https://openalex.org/A5049073875', 'https://openalex.org/A5101856573', 'https://openalex.org/A5013985536', 'https://openalex.org/A5069097726', 'https://openalex.org/A5068204319', 'https://openalex.org/A5056551357', 'https://openalex.org/A5015518638', 'https://openalex.org/A5079244248', 'https://openalex.org/A5100437467', 'https://openalex.org/A5053028004', 'https://openalex.org/A5100702488', 'https://openalex.org/A5100752868', 'https://openalex.org/A5006623234', 'https://openalex.org/A5100624916', 'https://openalex.org/A5054117253']"
https://openalex.org/W4220800320,2022,39,"['https://openalex.org/A5079213654', 'https://openalex.org/A5042644425', 'https://openalex.org/A5107151226', 'https://openalex.org/A5069999998', 'https://openalex.org/A5046036512']"
https://openalex.org/W4385571830,2023,37,"['https://openalex.org/A5044691513', 'https://openalex.org/A5100777469', 'https://openalex.org/A5109972562', 'https://openalex.org/A5002023162', 'https://openalex.org/A5089413311']"
https://openalex.org/W4224979739,2022,36,"['https://openalex.org/A5101495517', 'https://openalex.org/A5081132420', 'https://openalex.org/A5089413311', 'https://openalex.org/A5072925582']"
https://openalex.org/W4375870056,2023,26,"['https://openalex.org/A5002621773', 'https://openalex.org/A5109972562', 'https://openalex.org/A5047951879', 'https://openalex.org/A5069870254', 'https://openalex.org/A5101201263', 'https://openalex.org/A5089413311']"
https://openalex.org/W4391463878,2023,26,"['https://openalex.org/A5012591331', 'https://openalex.org/A5103070334', 'https://openalex.org/A5056681654', 'https://openalex.org/A5089178335', 'https://openalex.org/A5064270411', 'https://openalex.org/A5027112658']"
https://openalex.org/W4380302039,2023,24,"['https://openalex.org/A5030571651', 'https://openalex.org/A5073734735', 'https://openalex.org/A5079154791', 'https://openalex.org/A5031461158', 'https://openalex.org/A5061449471', 'https://openalex.org/A5014437029', 'https://openalex.org/A5067592463', 'https://openalex.org/A5053339499', 'https://openalex.org/A5089413311', 'https://openalex.org/A5078454856', 'https://openalex.org/A5064158757', 'https://openalex.org/A5028278233', 'https://openalex.org/A5041097650', 'https://openalex.org/A5032694172', 'https://openalex.org/A5040329543', 'https://openalex.org/A5002709735']"
https://openalex.org/W2018437417,1984,104,['https://openalex.org/A5059312459']
https://openalex.org/W2135615843,2013,91,"['https://openalex.org/A5014048759', 'https://openalex.org/A5059787882', 'https://openalex.org/A5025218537']"
https://openalex.org/W2123496851,2014,90,"['https://openalex.org/A5101781638', 'https://openalex.org/A5021090586', 'https://openalex.org/A5075085355', 'https://openalex.org/A5078575135', 'https://openalex.org/A5016657852']"
https://openalex.org/W2127043925,2014,90,"['https://openalex.org/A5025596419', 'https://openalex.org/A5084891341', 'https://openalex.org/A5074089902', 'https://openalex.org/A5014132912', 'https://openalex.org/A5055298686', 'https://openalex.org/A5011309664', 'https://openalex.org/A5037029596', 'https://openalex.org/A5022153074', 'https://openalex.org/A5046960097']"
https://openalex.org/W2078509872,2013,86,"['https://openalex.org/A5067689231', 'https://openalex.org/A5057880103']"
https://openalex.org/W2572363809,2015,82,"['https://openalex.org/A5071800484', 'https://openalex.org/A5089413311', 'https://openalex.org/A5100550303', 'https://openalex.org/A5062550465', 'https://openalex.org/A5089539629']"
https://openalex.org/W2799402066,2018,74,"['https://openalex.org/A5050589504', 'https://openalex.org/A5111894752', 'https://openalex.org/A5082297168', 'https://openalex.org/A5084703171', 'https://openalex.org/A5061366757', 'https://openalex.org/A5112380608', 'https://openalex.org/A5025735929', 'https://openalex.org/A5016839035', 'https://openalex.org/A5034820826', 'https://openalex.org/A5069057614', 'https://openalex.org/A5108825475', 'https://openalex.org/A5051037765', 'https://openalex.org/A5109905543', 'https://openalex.org/A5019543722', 'https://openalex.org/A5032621364', 'https://openalex.org/A5091047515', 'https://openalex.org/A5040588104', 'https://openalex.org/A5053773738', 'https://openalex.org/A5072036764', 'https://openalex.org/A5074089902', 'https://openalex.org/A5103215664', 'https://openalex.org/A5068458471', 'https://openalex.org/A5003209816', 'https://openalex.org/A5025797360', 'https://openalex.org/A5060318922', 'https://openalex.org/A5056119395', 'https://openalex.org/A5073734227', 'https://openalex.org/A5046475317']"
https://openalex.org/W2614820936,2017,63,"['https://openalex.org/A5021515262', 'https://openalex.org/A5059787882', 'https://openalex.org/A5070491108', 'https://openalex.org/A5032926589', 'https://openalex.org/A5025218537']"
https://openalex.org/W2809079346,2018,61,"['https://openalex.org/A5056188432', 'https://openalex.org/A5036586776', 'https://openalex.org/A5079557568', 'https://openalex.org/A5021090586', 'https://openalex.org/A5078583314']"
https://openalex.org/W2574455437,2021,50,"['https://openalex.org/A5089413311', 'https://openalex.org/A5051442967', 'https://openalex.org/A5084649058', 'https://openalex.org/A5060225743']"
https://openalex.org/W4281389747,2022,31,"['https://openalex.org/A5059787882', 'https://openalex.org/A5057907135', 'https://openalex.org/A5024396732', 'https://openalex.org/A5079596102', 'https://openalex.org/A5031799782', 'https://openalex.org/A5007874154']"
https://openalex.org/W4283810944,2022,31,"['https://openalex.org/A5049073875', 'https://openalex.org/A5063737268', 'https://openalex.org/A5052391231', 'https://openalex.org/A5068178240', 'https://openalex.org/A5046006076', 'https://openalex.org/A5087088138', 'https://openalex.org/A5058408154']"
https://openalex.org/W4212779166,2022,30,"['https://openalex.org/A5032522964', 'https://openalex.org/A5001160007', 'https://openalex.org/A5020563993', 'https://openalex.org/A5021090586', 'https://openalex.org/A5016657852']"
https://openalex.org/W3199024427,2022,27,"['https://openalex.org/A5052127213', 'https://openalex.org/A5082299527', 'https://openalex.org/A5037115259', 'https://openalex.org/A5030687237', 'https://openalex.org/A5041381652', 'https://openalex.org/A5008264999', 'https://openalex.org/A5020153026', 'https://openalex.org/A5089413311', 'https://openalex.org/A5043228682', 'https://openalex.org/A5085011940', 'https://openalex.org/A5025028660']"
https://openalex.org/W2058159824,2004,104,"['https://openalex.org/A5028932589', 'https://openalex.org/A5111720191', 'https://openalex.org/A5024638669', 'https://openalex.org/A5020009396', 'https://openalex.org/A5032553729', 'https://openalex.org/A5073243440', 'https://openalex.org/A5010086241', 'https://openalex.org/A5048878277', 'https://openalex.org/A5083824689', 'https://openalex.org/A5112306147', 'https://openalex.org/A5100601421', 'https://openalex.org/A5110126579']"
https://openalex.org/W4298095722,1996,99,"['https://openalex.org/A5032015244', 'https://openalex.org/A5028932589', 'https://openalex.org/A5109805326']"
